model,rmse_val,mae_val,r2_val,rmse_test,mae_test,r2_test,fit_s
ridge,0.0035750937221856447,0.0026426384880556056,0.6774172865493726,0.003839543618967974,0.0025692913590124613,0.7154528331234282,0.036187171936035156
xgb,0.0035313593983552897,0.0025631065338082948,0.6852613579761702,0.003959209685284951,0.002908347581438663,0.6974396173166131,0.5727982521057129
naive (NB 04),0.003902929965748132,0.002521781008629082,0.6155430249479166,0.004252694716693691,0.002315468254338502,0.6509212037736974,0.0
lasso,0.0038805550788661948,0.0029158575723916844,0.6199384529587524,0.004262993368039505,0.0030139798780488415,0.6492284446797719,0.012648344039916992
tree,0.004133752877005593,0.002915118824809743,0.5687240423625535,0.004292415127223761,0.0028739707659387425,0.644369919682684,0.11205053329467773
rf,0.003868681573370509,0.0029046980487295424,0.6222606769597703,0.004505555860583516,0.0033619200203954857,0.6081752984972383,2.511805295944214
knn,0.004678156312260301,0.0036810808836077293,0.44764831194374977,0.006252648870128588,0.005066727917766322,0.24538899278719228,0.010360240936279297
svr,0.006231944026936572,0.004543774495848988,0.01980311993488204,0.02286154721832641,0.020214889565544607,-9.088028317729975,5.535000562667847
