model,rmse_val,mae_val,r2_val,rmse_test,mae_test,r2_test
Ensamble simple,0.0034001204594803916,0.002486763590064016,0.7082204603018623,0.003697827959124541,0.0025745022039417916,0.736070182162701
XGB-Optuna,0.0034215903657952387,0.0025069000432409224,0.7045239690497674,0.0038159654001367078,0.0028149731532516875,0.7189368489644349
Ridge,0.0035750937221856447,0.0026426384880556056,0.6774172865493726,0.003839543618967974,0.0025692913590124613,0.7154528331234282
HVRF,0.003384668996855315,0.002523055776066377,0.7108663528237904,0.0039036151611682164,0.0029397732689451766,0.7058769596979042
XGB (NB05),,,,0.003959209685284951,0.002908347581438663,0.6974396173166131
Naive,,,,0.004252694716693691,0.002315468254338502,0.6509212037736974
Solo R_bajo,0.004048206443438532,0.0028584400325135854,0.5863895227620397,0.00501095482262731,0.003346483097321542,0.5153412822646983
Solo R_alto,0.013128039778833497,0.011840855494613032,-3.3497670167846954,0.017496089126594998,0.016380157170502875,-4.908496996977277
