category,model,rmse_test,mae_test,r2_test,auc_test,f1_test
Benchmark (NB04),naive,0.004252694716693691,0.002315468254338502,,,
Benchmark (NB04),rolling_mean_22,0.006892400798273564,0.004896841952210841,,,
Benchmark (NB04),ewma_094,0.005972536129881908,0.004576899219905495,,,
Benchmark (NB04),arima_101,0.006032918517290341,0.004003633688670104,,,
Benchmark (NB04),garch_11,0.00789377307086404,0.006781422156370165,,,
Benchmark (NB04),har_rv,0.005602910165006593,0.003979221666155415,,,
Regresión (NB05),ridge,0.003839543618967974,0.0025692913590124613,0.7154528331234282,,
Regresión (NB05),lasso,0.004262993368039505,0.0030139798780488415,0.6492284446797719,,
Regresión (NB05),knn,0.006252648870128588,0.005066727917766322,0.24538899278719228,,
Regresión (NB05),tree,0.004292415127223761,0.0028739707659387425,0.644369919682684,,
Regresión (NB05),rf,0.004505555860583516,0.0033619200203954857,0.6081752984972383,,
Regresión (NB05),svr,0.02286154721832641,0.020214889565544607,-9.088028317729975,,
Regresión (NB05),xgb,0.003959209685284951,0.002908347581438663,0.6974396173166131,,
Clasificación (NB06),knn,,,,0.8393417235160354,0.4383561643835616
Clasificación (NB06),gaussian_nb,,,,0.870251117384145,0.5454545454545454
Clasificación (NB06),logreg_l1,,,,0.9442876185995452,0.7708333333333334
Clasificación (NB06),logreg_l2,,,,0.944228808907708,0.7708333333333334
Clasificación (NB06),tree,,,,0.9251401630988787,0.7052631578947368
Clasificación (NB06),rf,,,,0.9558633262761704,0.8061224489795918
Clasificación (NB06),svm,,,,0.9136085626911316,0.6532258064516129
Clasificación (NB06),xgb,,,,0.9557163020465773,0.8125
Optimizado (NB08),xgb_grid,0.003977695023077072,,,,
Optimizado (NB08),xgb_random,0.003987338023420454,,,,
Optimizado (NB08),xgb_optuna,0.0038159654001367078,,,,
Optimizado (NB08),xgb_deap,0.004049962052836926,,,,
Modelo original (NB13),HVRF,0.0039036151611682164,0.0029397732689451766,0.7058769596979042,,
Modelo original (NB13),Ridge,0.003839543618967974,0.0025692913590124613,0.7154528331234282,,
Modelo original (NB13),XGB-Optuna,0.0038159654001367078,0.0028149731532516875,0.7189368489644349,,
Modelo original (NB13),XGB (NB05),0.003959209685284951,0.002908347581438663,0.6974396173166131,,
Modelo original (NB13),Naive,0.004252694716693691,0.002315468254338502,0.6509212037736974,,
Modelo original (NB13),Solo R_bajo,0.00501095482262731,0.003346483097321542,0.5153412822646983,,
Modelo original (NB13),Solo R_alto,0.017496089126594998,0.016380157170502875,-4.908496996977277,,
Modelo original (NB13),Ensamble simple,0.003697827959124541,0.0025745022039417916,0.736070182162701,,
