model,acc_val,prec_val,rec_val,f1_val,auc_val,acc_test,prec_test,rec_test,f1_test,auc_test,fit_s
rf,0.9272030651340997,0.7807017543859649,0.6357142857142857,0.7007874015748031,0.9271096713021493,0.9636363636363636,0.9080459770114943,0.7247706422018348,0.8061224489795918,0.9558633262761704,2.923144817352295
xgb,0.9281609195402298,0.7777777777777778,0.65,0.708171206225681,0.9342762326169406,0.9655502392344497,0.9397590361445783,0.7155963302752294,0.8125,0.9557163020465773,0.5177903175354004
logreg_l1,0.9272030651340997,0.8076923076923077,0.6,0.6885245901639344,0.938590391908976,0.9578947368421052,0.891566265060241,0.6788990825688074,0.7708333333333334,0.9442876185995452,0.244950532913208
logreg_l2,0.9252873563218391,0.7924528301886793,0.6,0.6829268292682927,0.9379582806573957,0.9578947368421052,0.891566265060241,0.6788990825688074,0.7708333333333334,0.944228808907708,0.34488844871520996
tree,0.896551724137931,0.6194029850746269,0.5928571428571429,0.6058394160583942,0.8859236725663716,0.9464114832535885,0.8271604938271605,0.6146788990825688,0.7052631578947368,0.9251401630988787,0.12495136260986328
svm,0.9243295019157088,0.8210526315789474,0.5571428571428572,0.6638297872340425,0.9328302781289506,0.9177033492822967,0.5827338129496403,0.7431192660550459,0.6532258064516129,0.9136085626911316,2.380885601043701
gaussian_nb,0.8946360153256705,0.8409090909090909,0.2642857142857143,0.40217391304347827,0.8917114412136536,0.9282296650717703,0.8035714285714286,0.41284403669724773,0.5454545454545454,0.870251117384145,0.013309240341186523
knn,0.8936781609195402,0.8918918918918919,0.2357142857142857,0.3728813559322034,0.8526746207332491,0.9215311004784689,0.8648648648648649,0.29357798165137616,0.4383561643835616,0.8393417235160354,0.03956460952758789
