model,auc_point,ci95_lo,ci95_hi
rf,0.9558633262761704,0.9277546922582053,0.9801114213166617
xgb,0.9557163020465773,0.9272501118220912,0.9801271030747603
logreg_l1,0.9442876185995452,0.9128261194055184,0.970563201196709
logreg_l2,0.944228808907708,0.9129156900086904,0.9706900803952564
tree,0.9251401630988787,0.8913443880992022,0.9532894858887336
svm,0.9136085626911316,0.8764256084360148,0.9495800451190665
gaussian_nb,0.870251117384145,0.825837900048427,0.9112844293112093
knn,0.8393417235160354,0.7913698436712664,0.8836269609072406
