model,baseline,smote,adasyn,balanced
knn,0.8393,0.8391,,
gaussian_nb,0.8703,0.8703,,
logreg_l1,0.9443,0.9442,,0.9443
logreg_l2,0.9442,0.9441,,0.9442
tree,0.9251,0.9252,,0.9277
rf,0.9559,0.9576,,0.9563
svm,0.9136,0.9137,,0.9136
xgb,0.9557,0.9538,,0.9587
